true_fault_type,predicted_fault_type,P_fault,equipment,W_severity,W_detection,risk_score,risk_tier
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.98,63.7,High
B,B,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.995,64.67500000000001,High
B,B,1.0,Impeller / Filling Head Bearing,0.75,0.8425,63.1875,High
B,B,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.905,72.4,High
IR,IR,1.0,Conveyor Belt / Roller Bearing,0.35,0.9775,34.2125,Medium
Normal,Normal,0.0,Impeller / Filling Head Bearing,0.75,1.0,0.0,Low
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.975,63.375,High
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,1.0,80.0,Critical
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,1.0,75.0,High
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
B,B,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.99,64.35,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.995,74.625,High
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,0.9624999999999999,33.68749999999999,Medium
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
IR,IR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.7375,47.93750000000001,Medium
B,B,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.975,63.375,High
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,0.9475,33.1625,Medium
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.9924999999999999,79.4,High
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,0.995,34.825,Medium
IR,IR,1.0,Conveyor Belt / Roller Bearing,0.35,0.87,30.45,Medium
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.87,56.55,High
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,0.99,74.25,High
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.77,61.60000000000001,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,1.0,75.0,High
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
IR,IR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
B,B,1.0,Impeller / Filling Head Bearing,0.75,0.8075,60.5625,High
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,0.995,74.625,High
IR,IR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,1.0,80.0,Critical
B,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.75,60.00000000000001,High
B,B,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.885,70.80000000000001,High
B,B,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.995,79.60000000000001,High
B,B,1.0,Conveyor Belt / Roller Bearing,0.35,0.97,33.949999999999996,Medium
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,0.9924999999999999,34.73749999999999,Medium
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
IR,IR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,1.0,80.0,Critical
IR,IR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.945,75.6,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,1.0,75.0,High
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.98,63.7,High
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,1.0,75.0,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.995,74.625,High
B,B,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.9425,75.4,High
B,B,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.985,64.025,High
B,B,1.0,Impeller / Filling Head Bearing,0.75,0.9,67.5,High
IR,IR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.925,74.00000000000001,High
B,B,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.99,64.35,High
IR,IR,1.0,Conveyor Belt / Roller Bearing,0.35,0.995,34.825,Medium
IR,IR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.99,79.2,High
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,0.9524999999999999,71.4375,High
IR,IR,1.0,Conveyor Belt / Roller Bearing,0.35,0.965,33.775,Medium
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,0.8325,29.1375,Low
B,B,1.0,Impeller / Filling Head Bearing,0.75,0.97,72.75,High
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,1.0,75.0,High
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.8674999999999999,56.3875,High
IR,IR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.98,78.4,High
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.96,76.8,High
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.88,57.2,High
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,1.0,80.0,Critical
OR,B,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.85,55.25,High
B,B,1.0,Impeller / Filling Head Bearing,0.75,0.895,67.125,High
B,B,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.975,63.375,High
IR,IR,1.0,Conveyor Belt / Roller Bearing,0.35,0.9875,34.5625,Medium
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.9875,79.0,High
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,0.895,31.324999999999996,Medium
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.9875,74.06250000000001,High
B,B,1.0,Conveyor Belt / Roller Bearing,0.35,0.845,29.574999999999996,Low
B,OR,1.0,Impeller / Filling Head Bearing,0.75,0.8025,60.18749999999999,High
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,1.0,75.0,High
Normal,Normal,0.0,Conveyor Belt / Roller Bearing,0.35,1.0,0.0,Low
B,B,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.995,64.67500000000001,High
B,B,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.8300000000000001,66.40000000000002,High
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.995,64.67500000000001,High
B,B,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.97,72.75,High
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
B,B,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.915,59.475,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,1.0,75.0,High
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.9424999999999999,75.4,High
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.98,78.4,High
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.9824999999999999,63.8625,High
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,0.965,72.375,High
B,B,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.93,74.4,High
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.8025,52.1625,Medium
IR,IR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.9924999999999999,79.4,High
OR,B,1.0,Impeller / Filling Head Bearing,0.75,0.57,42.75,Medium
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,0.99,34.65,Medium
IR,IR,1.0,Conveyor Belt / Roller Bearing,0.35,0.985,34.475,Medium
IR,IR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
IR,IR,1.0,Conveyor Belt / Roller Bearing,0.35,0.9875,34.5625,Medium
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.975,63.375,High
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,1.0,80.0,Critical
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,0.9875,34.5625,Medium
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,0.78,27.299999999999997,Low
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.975,63.375,High
B,B,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.9624999999999999,77.0,High
B,B,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.935,60.775,High
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,0.97,72.75,High
B,B,1.0,Conveyor Belt / Roller Bearing,0.35,0.975,34.125,Medium
B,B,1.0,Impeller / Filling Head Bearing,0.75,1.0,75.0,High
B,B,1.0,Impeller / Filling Head Bearing,0.75,0.9575,71.8125,High
IR,IR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.9,72.00000000000001,High
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,0.925,32.375,Medium
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.9675,77.4,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.97,72.75,High
Normal,Normal,0.0,Impeller / Filling Head Bearing,0.75,1.0,0.0,Low
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.965,72.375,High
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,0.925,32.375,Medium
IR,IR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.9624999999999999,77.0,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.9775,73.3125,High
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,1.0,80.0,Critical
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,1.0,80.0,Critical
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,0.8,27.999999999999996,Low
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,0.9924999999999999,34.73749999999999,Medium
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.6825,54.6,Medium
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.9824999999999999,63.8625,High
B,B,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.815,65.2,High
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.9025000000000001,72.2,High
Normal,Normal,0.0,Impeller / Filling Head Bearing,0.75,1.0,0.0,Low
B,B,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.91,72.80000000000001,High
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,0.985,73.875,High
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,0.99,34.65,Medium
Normal,Normal,0.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,0.0,Low
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.99,64.35,High
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,1.0,75.0,High
B,B,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,1.0,80.0,Critical
B,B,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.9575,76.6,High
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,0.985,73.875,High
IR,IR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,1.0,80.0,Critical
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
B,B,1.0,Conveyor Belt / Roller Bearing,0.35,0.895,31.324999999999996,Medium
B,B,1.0,Conveyor Belt / Roller Bearing,0.35,0.9924999999999999,34.73749999999999,Medium
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.975,63.375,High
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.995,64.67500000000001,High
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
OR,B,1.0,Impeller / Filling Head Bearing,0.75,0.555,41.625,Medium
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
B,B,1.0,Conveyor Belt / Roller Bearing,0.35,0.89,31.15,Medium
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.99,64.35,High
IR,IR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.975,78.0,High
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.5700000000000001,37.050000000000004,Medium
B,B,1.0,Impeller / Filling Head Bearing,0.75,0.985,73.875,High
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.915,59.475,High
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.89,57.85,High
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,1.0,75.0,High
IR,IR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
IR,IR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,0.9450000000000001,70.875,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,1.0,75.0,High
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.645,41.925000000000004,Medium
IR,IR,1.0,Conveyor Belt / Roller Bearing,0.35,0.99,34.65,Medium
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.995,64.67500000000001,High
B,B,1.0,Conveyor Belt / Roller Bearing,0.35,0.97,33.949999999999996,Medium
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.7275,54.5625,Medium
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.835,62.625,High
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,0.9175,32.1125,Medium
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.96,72.0,High
B,B,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.815,52.974999999999994,Medium
B,B,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.945,75.6,High
B,B,1.0,Conveyor Belt / Roller Bearing,0.35,0.9524999999999999,33.33749999999999,Medium
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.99,74.25,High
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,0.96,72.0,High
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.995,64.67500000000001,High
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,1.0,75.0,High
B,B,1.0,Conveyor Belt / Roller Bearing,0.35,0.98,34.3,Medium
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.8474999999999999,67.8,High
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,1.0,80.0,Critical
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,1.0,75.0,High
IR,IR,1.0,Conveyor Belt / Roller Bearing,0.35,0.515,18.025,Low
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,0.995,34.825,Medium
B,B,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.9275,60.28750000000001,High
B,B,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.92,59.80000000000001,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.7849999999999999,58.874999999999986,High
Normal,Normal,0.0,Rotary Drive System (Main Drive Motor Bearing),0.8,1.0,0.0,Low
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.895,71.60000000000001,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,1.0,75.0,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.74,55.49999999999999,High
IR,IR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.99,79.2,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.99,74.25,High
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.99,79.2,High
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
B,B,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.995,64.67500000000001,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.9724999999999999,72.93749999999999,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,1.0,75.0,High
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,0.9924999999999999,74.4375,High
IR,IR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.84,67.2,High
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.8725,56.71250000000001,High
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.995,64.67500000000001,High
IR,IR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.99,79.2,High
B,B,1.0,Impeller / Filling Head Bearing,0.75,0.995,74.625,High
B,B,1.0,Impeller / Filling Head Bearing,0.75,0.88,66.0,High
IR,IR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,1.0,80.0,Critical
B,B,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.845,54.925000000000004,Medium
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.99,64.35,High
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.955,62.075,High
OR,B,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.7325,47.612500000000004,Medium
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,0.895,31.324999999999996,Medium
IR,IR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.97,63.05,High
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,1.0,75.0,High
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
B,B,1.0,Conveyor Belt / Roller Bearing,0.35,0.8725,30.5375,Medium
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.94,61.1,High
Normal,Normal,0.0,Conveyor Belt / Roller Bearing,0.35,1.0,0.0,Low
B,B,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.9775,63.5375,High
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.9924999999999999,64.51249999999999,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.9125,68.4375,High
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,0.995,34.825,Medium
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
IR,IR,1.0,Conveyor Belt / Roller Bearing,0.35,0.995,34.825,Medium
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,0.98,73.5,High
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
B,B,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.995,79.60000000000001,High
IR,IR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,1.0,80.0,Critical
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
IR,IR,1.0,Conveyor Belt / Roller Bearing,0.35,0.9624999999999999,33.68749999999999,Medium
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.6725,50.4375,Medium
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
B,B,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.945,61.425,High
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
B,B,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.97,63.05,High
B,B,1.0,Impeller / Filling Head Bearing,0.75,0.8400000000000001,63.000000000000014,High
IR,IR,1.0,Conveyor Belt / Roller Bearing,0.35,0.995,34.825,Medium
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.9575,76.6,High
B,B,1.0,Conveyor Belt / Roller Bearing,0.35,0.965,33.775,Medium
IR,IR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.95,76.0,High
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,0.995,74.625,High
IR,IR,1.0,Conveyor Belt / Roller Bearing,0.35,0.8325,29.1375,Low
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.96,62.4,High
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
B,B,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.9624999999999999,62.5625,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,1.0,75.0,High
IR,B,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.725,57.99999999999999,High
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.7875000000000001,63.000000000000014,High
B,B,1.0,Impeller / Filling Head Bearing,0.75,0.995,74.625,High
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.825,66.0,High
B,B,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.565,36.724999999999994,Medium
IR,IR,1.0,Conveyor Belt / Roller Bearing,0.35,0.6975,24.412499999999998,Low
IR,IR,1.0,Conveyor Belt / Roller Bearing,0.35,0.975,34.125,Medium
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,0.91,68.25,High
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,0.78,27.299999999999997,Low
B,B,1.0,Impeller / Filling Head Bearing,0.75,0.985,73.875,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.845,63.375,High
B,OR,1.0,Conveyor Belt / Roller Bearing,0.35,0.7725,27.037499999999998,Low
IR,IR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.975,78.0,High
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,0.9375,70.3125,High
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.8525,68.2,High
IR,IR,1.0,Conveyor Belt / Roller Bearing,0.35,0.9724999999999999,34.037499999999994,Medium
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.95,61.74999999999999,High
B,B,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.7775,62.2,High
IR,IR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,1.0,80.0,Critical
B,B,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.985,64.025,High
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,0.9724999999999999,34.037499999999994,Medium
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,1.0,75.0,High
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,0.995,74.625,High
IR,IR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
IR,IR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,1.0,80.0,Critical
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,1.0,80.0,Critical
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.965,77.2,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,1.0,75.0,High
B,B,1.0,Conveyor Belt / Roller Bearing,0.35,0.945,33.074999999999996,Medium
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.9575,76.6,High
OR,OR,1.0,Impeller / Filling Head Bearing,0.75,0.98,73.5,High
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.92,73.60000000000001,High
Normal,Normal,0.0,Conveyor Belt / Roller Bearing,0.35,1.0,0.0,Low
Normal,Normal,0.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,0.0,Low
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.905,58.825,High
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.9875,64.18750000000001,High
B,B,1.0,Conveyor Belt / Roller Bearing,0.35,0.96,33.599999999999994,Medium
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,1.0,80.0,Critical
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,0.92,32.2,Medium
IR,IR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.93,60.45,High
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.99,64.35,High
B,OR,1.0,Impeller / Filling Head Bearing,0.75,0.6224999999999999,46.68749999999999,Medium
IR,IR,1.0,Conveyor Belt / Roller Bearing,0.35,0.9724999999999999,34.037499999999994,Medium
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,0.9425,70.6875,High
Normal,Normal,0.0,Rotary Drive System (Main Drive Motor Bearing),0.8,1.0,0.0,Low
OR,B,1.0,Conveyor Belt / Roller Bearing,0.35,0.7,24.499999999999996,Low
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.9624999999999999,77.0,High
IR,IR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.96,76.8,High
B,B,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,1.0,65.0,High
OR,OR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,1.0,80.0,Critical
IR,IR,1.0,Conveyor Belt / Roller Bearing,0.35,1.0,35.0,Medium
IR,IR,1.0,Impeller / Filling Head Bearing,0.75,1.0,75.0,High
IR,IR,1.0,Rotary Drive System (Main Drive Motor Bearing),0.8,0.995,79.60000000000001,High
OR,OR,1.0,Conveyor Belt / Roller Bearing,0.35,0.6675,23.362499999999997,Low
OR,OR,1.0,Palletizer Servo Drive / Gripper Bearing,0.65,0.995,64.67500000000001,High
